"Current_A","Current_B","Current_C","Current_N","Current_G","Current_Avg","Current_UNB_A","Current_UNB_B","Current_UNB_C","Voltage_A_B","Voltage_B_C","Voltage_C_A","Voltage_L_L_Avg","Voltage_A_N","Voltage_B_N","Voltage_C_N","rsrv1","Voltage_L_N_Avg","Voltage_UNB_A_B","Voltage_UNB_B_C","Voltage_UNB_C_A","Voltage_UNB_L_L_Worst","Voltage_UNB_A_N","Voltage_UNB_B_N","Voltage_UNB_C_N","Voltage_UNB_L_N_Worst","Current_UNB_Worst","Active_Power_A","Active_Power_B","Active_Power_C","Active_Power_Total","Reactive_Power_A","Reactive_Power_B","Reactive_Power_C","Reactive_Power_Total","Apparent_Power_A","Apparent_Power_B","Apparent_Power_C","Apparent_Power_Total","Power_Factor_A","Power_Factor_B","Power_Factor_C","Power_Factor_Total","Frequency","Temperature","Active_Energy_LastDay","rsrv2","rsrv3","rsrv4","Energy_Acum_Datetime","Active_Energy_Delivered","Active_Energy_Received","Active_Energy_del_p_rec","Active_Energy_del_m_rec","Reactive_Energy_Delivered","Reactive_Energy_Received","Reactive_Energy_del_p_rec","Reactive_Energy_del_m_rec","Apparent_Energy_Delivered","Apparent_Energy_Received","Apparent_Energy_del_p_rec","createdAt"
"9.69","2.28","4.36","6.28","13","2","1","2","5","380","391","383","380","234.22","233.63","233.65","0","233.83","30","23","26","12","12","15","15","0","0","2.09","0.4","0.99","3.48","0.89","-0.33","-0.26","0.31","2.27","0.52","1.02","3.49","0.92","1.23","1.03","1","49.98","44.93","4.2","0","0","0","0","96695.53","362.77","97058.3","96332.75","74779.39","154.7","74934.09","74624.69","124361.95","906.87","4","2020-11-04T00:00:10.274Z"
"9.69","2.28","4.36","6.28","13","2","1","2","5","380","391","383","380","234.2","233.62","233.66","0","233.83","30","23","26","12","12","15","15","0","0","2.09","0.4","0.99","3.47","0.89","-0.33","-0.25","0.31","2.27","0.52","1.02","3.49","0.92","1.23","1.03","1","49.98","45.54","4.2","0","0","0","0","96695.54","362.77","97058.31","96332.77","74779.39","154.7","74934.09","74624.69","124361.96","906.87","4","2020-11-04T00:00:22.790Z"
"9.69","2.22","4.36","6.27","13","2","1","2","5","380","391","383","380","234.28","233.69","233.71","0","233.89","30","23","26","12","12","15","15","0","0","2.09","0.4","0.99","3.47","0.89","-0.33","-0.25","0.31","2.27","0.52","1.02","3.49","0.92","1.23","1.03","1","49.99","45.54","4.2","0","0","0","0","96695.55","362.77","97058.32","96332.77","74779.39","154.7","74934.09","74624.69","124361.97","906.87","4","2020-11-04T00:00:33.155Z"
"9.69","2.22","4.36","6.27","13","2","1","2","5","380","391","383","380","233.81","233.77","233.68","0","233.75","30","23","26","12","12","15","15","0","0","2.75","0.4","0.99","4.13","0.85","-0.33","-0.25","0.27","2.88","0.51","1.02","4.14","0.96","1.23","1.03","1","49.98","44.62","4.2","0","0","0","0","96695.55","362.77","97058.32","96332.77","74779.39","154.7","74934.09","74624.69","124361.98","906.87","4","2020-11-04T00:00:45.541Z"
"12.32","2.22","4.36","8.82","13","2","1","2","5","380","391","383","380","233.65","233.85","233.71","0","233.73","30","23","26","12","12","15","15","0","0","2.75","0.4","0.99","4.13","0.85","-0.33","-0.25","0.27","2.88","0.51","1.02","4.14","0.96","1.23","1.03","1","49.98","45.54","4.2","0","0","0","0","96695.58","362.77","97058.35","96332.8","74779.39","154.7","74934.09","74624.69","124361.99","906.87","4","2020-11-04T00:00:57.867Z"
"11.07","2.2","4.36","7.82","13","2","1","2","5","380","391","383","380","233.85","233.85","233.47","0","233.73","30","23","26","12","12","15","15","0","0","2.75","0.4","0.99","4.13","0.85","-0.33","-0.25","0.27","2.88","0.51","1.02","4.14","0.96","1.23","1.03","1","49.97","45.24","4.2","0","0","0","0","96695.58","362.77","97058.35","96332.8","74779.39","154.7","74934.09","74624.69","124362.01","906.87","4","2020-11-04T00:01:12.169Z"
"11.06","2.22","4.36","7.81","13","2","1","2","5","380","391","383","380","233.94","233.93","233.53","0","233.8","30","23","26","12","12","15","15","0","0","2.54","0.4","0.99","3.93","0.51","-0.33","-0.26","-0.07","2.59","0.52","1.02","3.93","0.98","1.23","1.03","1","49.97","44.62","4.2","0","0","0","0","96695.58","362.77","97058.35","96332.8","74779.39","154.7","74934.09","74624.69","124362.02","906.87","4","2020-11-04T00:01:24.558Z"
"11.07","2.21","4.36","7.82","13","2","1","2","5","380","391","383","380","234.62","234.57","234.21","0","234.47","30","23","26","12","12","15","15","0","0","2.54","0.4","0.99","3.93","0.51","-0.33","-0.26","-0.07","2.59","0.52","1.02","3.93","0.98","1.23","1.03","1","49.99","45.85","4.2","0","0","0","0","96695.62","362.77","97058.39","96332.85","74779.39","154.7","74934.09","74624.69","124362.04","906.87","4","2020-11-04T00:01:39.375Z"
"11.07","2.2","4.35","7.82","13","2","1","2","5","380","391","383","380","234.91","234.88","234.53","0","234.78","30","23","26","12","12","15","15","0","0","2.54","0.4","0.99","3.93","0.51","-0.33","-0.26","-0.07","2.59","0.52","1.02","3.93","0.98","1.23","1.03","1","50.01","45.85","4.2","0","0","0","0","96695.63","362.77","97058.41","96332.86","74779.39","154.7","74934.09","74624.69","124362.05","906.87","4","2020-11-04T00:01:49.376Z"
"12.04","2.2","4.36","8.65","13","2","1","2","5","380","391","383","380","234.42","234.65","234.34","0","234.47","30","23","26","12","12","15","15","0","0","2.75","0.4","0.99","4.14","0.62","-0.33","-0.26","0.03","2.82","0.52","1.02","4.14","0.98","1.23","1.03","1","50.01","45.54","4.2","0","0","0","0","96695.65","362.77","97058.41","96332.88","74779.39","154.7","74934.09","74624.69","124362.06","906.87","4","2020-11-04T00:01:59.784Z"
"12.05","2.19","4.37","8.66","13","2","1","2","5","380","391","383","380","233.92","234.13","233.82","0","233.96","30","23","26","12","12","15","15","0","0","2.75","0.4","0.99","4.14","0.62","-0.33","-0.26","0.03","2.82","0.52","1.02","4.14","0.98","1.23","1.03","1","50.01","45.54","4.2","0","0","0","0","96695.66","362.77","97058.43","96332.88","74779.39","154.7","74934.09","74624.69","124362.08","906.87","4","2020-11-04T00:02:10.110Z"
