"Voltage","Current","Active_Power","Apparent_Power","Reactive_Power","Power_Factor","Phase_angle","Frequency","Fordward_Energy","Reverse_Energy","Abs_Energy","Ind_Energy","Cap_Energy","Abs_Reactive_Energy","MeterStatus","SyStatus","createdAt"
200.91,2.34,455,469,13,0.97,0.07,50,31.58,0,31.58,0.65,1.91,2.59,2049,0,"2022-01-21T00:00:01.999Z"
201,2.34,456,471,13,0.97,0.08,49.99,31.58,0,31.58,0.65,1.91,2.59,2049,2,"2022-01-21T00:00:07.243Z"
200.67,2.34,456,470,12,0.97,0.07,49.99,31.58,0,31.58,0.65,1.91,2.59,2049,0,"2022-01-21T00:00:12.499Z"
200.06,2.34,454,468,12,0.97,0.08,50,31.58,0,31.58,0.65,1.91,2.59,2049,0,"2022-01-21T00:00:17.755Z"
200.45,2.33,453,467,12,0.97,0.08,50.01,31.59,0,31.59,0.65,1.91,2.59,2049,2,"2022-01-21T00:00:23.031Z"
201.37,2.34,457,471,13,0.97,0.07,50.01,31.59,0,31.59,0.65,1.91,2.59,2049,0,"2022-01-21T00:00:28.269Z"
201.47,2.28,447,459,14,0.97,0.08,50,31.59,0,31.59,0.65,1.91,2.59,2049,0,"2022-01-21T00:00:33.525Z"
201.03,2.29,447,459,14,0.97,0.08,50,31.59,0,31.59,0.65,1.91,2.59,2049,0,"2022-01-21T00:00:38.781Z"
201.04,2.3,449,461,14,0.97,0.07,50,31.59,0,31.59,0.65,1.91,2.59,2049,0,"2022-01-21T00:00:44.051Z"
202,2.29,449,462,15,0.97,0.08,50,31.59,0,31.59,0.65,1.91,2.59,2049,0,"2022-01-21T00:00:49.297Z"
201.86,2.32,453,467,12,0.97,0.08,50.01,31.59,0,31.59,0.65,1.91,2.59,2049,0,"2022-01-21T00:00:54.551Z"
202.08,2.31,453,466,14,0.97,0.08,50.01,31.59,0,31.59,0.65,1.91,2.59,2049,0,"2022-01-21T00:00:59.805Z"
202.02,2.29,449,461,15,0.97,0.07,50.02,31.59,0,31.59,0.65,1.91,2.59,2049,0,"2022-01-21T00:01:05.073Z"
202.27,2.3,451,464,15,0.97,0.08,50.02,31.59,0,31.59,0.65,1.91,2.59,2049,0,"2022-01-21T00:01:10.319Z"
202.24,2.29,449,462,14,0.97,0.08,50.03,31.59,0,31.59,0.65,1.91,2.59,2049,0,"2022-01-21T00:01:15.591Z"
200.57,5.94,1185,1190,35,1,0.02,50.01,31.59,0,31.59,0.65,1.91,2.59,2049,0,"2022-01-21T00:01:20.831Z"
200.11,6.54,1299,1308,72,0.99,0.04,50,31.6,0,31.6,0.65,1.91,2.59,2049,2,"2022-01-21T00:01:26.095Z"
